--------------------------------------------------------------------------------------------------------
system size:                                                                                       512  
d-field:                                                                                           0    
beta:                                                                                              10   
boundary conditions:                                                                           periodic 
--------------------------------------------------------------------------------------------------------
energy:                                                                                 -716.8011.2e+02 
string corr. squared:                                                                   -nan    -nan    
staggered mag. squared:                                                                 909.927 1.6e+06 
--------------------------------------------------------------------------------------------------------
Site  <S_i^zS_j^z>  error     <(S_i^z)^2>  error     <S_i^z>  error     
140   0.002         4.2e-02   0.666        1.2e-02   -0.002   1.5e-01   
141   -0.001        4.1e-02   0.666        1.2e-02   0.002    1.5e-01   
142   0.001         4.2e-02   0.666        1.2e-02   -0.001   1.5e-01   
143   -0.001        4.1e-02   0.666        1.2e-02   -0.001   1.5e-01   
144   -0.001        4.1e-02   0.667        1.2e-02   0.001    1.5e-01   
145   0.002         4.2e-02   0.667        1.2e-02   -0.003   1.5e-01   
146   -0.001        4.2e-02   0.664        1.2e-02   0.004    1.5e-01   
147   -0.000        4.1e-02   0.665        1.2e-02   -0.006   1.5e-01   
148   0.002         4.1e-02   0.665        1.2e-02   0.008    1.5e-01   
149   -0.001        4.2e-02   0.666        1.2e-02   -0.010   1.5e-01   
150   0.001         4.2e-02   0.666        1.2e-02   0.009    1.5e-01   
151   -0.001        4.2e-02   0.667        1.2e-02   -0.007   1.5e-01   
152   0.001         4.2e-02   0.665        1.2e-02   0.006    1.5e-01   
153   -0.002        4.3e-02   0.667        1.2e-02   -0.007   1.5e-01   
154   0.001         4.3e-02   0.666        1.2e-02   0.009    1.5e-01   
155   -0.002        4.2e-02   0.667        1.2e-02   -0.007   1.5e-01   
156   0.002         4.2e-02   0.667        1.2e-02   0.004    1.5e-01   
157   -0.001        4.2e-02   0.667        1.2e-02   -0.004   1.5e-01   
158   0.002         4.2e-02   0.666        1.2e-02   0.003    1.5e-01   
159   -0.001        4.2e-02   0.667        1.2e-02   -0.005   1.5e-01   
160   0.002         4.2e-02   0.667        1.2e-02   0.004    1.5e-01   
161   -0.001        4.2e-02   0.667        1.2e-02   -0.004   1.5e-01   
162   0.001         4.2e-02   0.667        1.2e-02   0.003    1.5e-01   
163   0.000         4.2e-02   0.667        1.2e-02   -0.001   1.5e-01   
164   -0.001        4.2e-02   0.667        1.2e-02   0.001    1.5e-01   
165   0.002         4.2e-02   0.667        1.2e-02   -0.000   1.5e-01   
166   -0.002        4.2e-02   0.668        1.2e-02   -0.004   1.5e-01   
167   0.001         4.2e-02   0.666        1.2e-02   0.004    1.5e-01   
168   -0.000        4.2e-02   0.667        1.2e-02   -0.004   1.5e-01   
169   0.001         4.2e-02   0.666        1.2e-02   0.006    1.5e-01   
170   -0.001        4.2e-02   0.667        1.2e-02   -0.006   1.5e-01   
171   0.000         4.2e-02   0.667        1.2e-02   0.007    1.5e-01   
172   -0.001        4.2e-02   0.667        1.2e-02   -0.006   1.5e-01   
173   0.001         4.2e-02   0.667        1.2e-02   0.004    1.5e-01   
174   -0.001        4.1e-02   0.667        1.2e-02   -0.005   1.5e-01   
175   0.001         4.1e-02   0.666        1.2e-02   0.003    1.5e-01   
176   -0.001        4.2e-02   0.668        1.2e-02   -0.003   1.5e-01   
177   0.001         4.2e-02   0.668        1.2e-02   0.002    1.5e-01   
178   -0.003        4.2e-02   0.668        1.2e-02   -0.002   1.5e-01   
179   0.003         4.2e-02   0.668        1.2e-02   0.003    1.5e-01   
180   -0.003        4.2e-02   0.666        1.2e-02   -0.001   1.5e-01   
181   0.003         4.2e-02   0.666        1.2e-02   0.001    1.5e-01   
182   -0.001        4.2e-02   0.667        1.2e-02   -0.002   1.5e-01   
183   0.002         4.2e-02   0.667        1.2e-02   0.003    1.5e-01   
184   -0.003        4.1e-02   0.665        1.2e-02   -0.002   1.5e-01   
185   0.001         4.1e-02   0.665        1.2e-02   0.001    1.5e-01   
186   -0.000        4.1e-02   0.665        1.2e-02   -0.001   1.5e-01   
187   0.000         4.2e-02   0.666        1.2e-02   0.000    1.5e-01   
188   0.000         4.2e-02   0.666        1.2e-02   -0.000   1.5e-01   
189   0.001         4.2e-02   0.666        1.2e-02   -0.001   1.5e-01   
190   -0.003        4.2e-02   0.666        1.2e-02   -0.001   1.5e-01   
191   0.002         4.2e-02   0.665        1.3e-02   0.001    1.5e-01   
192   -0.003        4.2e-02   0.666        1.2e-02   0.000    1.5e-01   
193   0.002         4.2e-02   0.665        1.2e-02   -0.002   1.5e-01   
194   -0.002        4.2e-02   0.666        1.2e-02   0.005    1.5e-01   
195   0.003         4.2e-02   0.667        1.2e-02   -0.006   1.5e-01   
196   -0.003        4.2e-02   0.667        1.2e-02   0.007    1.5e-01   
197   0.002         4.2e-02   0.667        1.2e-02   -0.005   1.5e-01   
198   -0.002        4.2e-02   0.667        1.2e-02   0.003    1.5e-01   
199   0.002         4.2e-02   0.667        1.2e-02   -0.005   1.5e-01   
200   -0.002        4.2e-02   0.668        1.2e-02   0.007    1.5e-01   
201   0.004         4.2e-02   0.667        1.2e-02   -0.006   1.5e-01   
202   -0.003        4.2e-02   0.667        1.2e-02   0.007    1.5e-01   
203   0.003         4.2e-02   0.667        1.2e-02   -0.009   1.5e-01   
204   -0.003        4.2e-02   0.667        1.2e-02   0.010    1.5e-01   
205   0.003         4.2e-02   0.667        1.2e-02   -0.009   1.5e-01   
206   -0.002        4.1e-02   0.667        1.2e-02   0.007    1.5e-01   
207   0.001         4.1e-02   0.667        1.2e-02   -0.007   1.5e-01   
208   -0.002        4.2e-02   0.666        1.2e-02   0.007    1.5e-01   
209   0.001         4.1e-02   0.666        1.2e-02   -0.006   1.5e-01   
210   0.001         4.1e-02   0.665        1.2e-02   0.006    1.5e-01   
211   -0.001        4.2e-02   0.666        1.2e-02   -0.003   1.5e-01   
212   -0.000        4.2e-02   0.666        1.3e-02   0.002    1.5e-01   
213   0.002         4.1e-02   0.666        1.2e-02   0.001    1.5e-01   
214   -0.001        4.2e-02   0.667        1.2e-02   -0.001   1.5e-01   
215   -0.000        4.2e-02   0.666        1.2e-02   0.000    1.5e-01   
216   -0.000        4.2e-02   0.667        1.2e-02   -0.000   1.5e-01   
217   -0.001        4.2e-02   0.667        1.2e-02   0.003    1.5e-01   
218   0.002         4.2e-02   0.667        1.2e-02   -0.005   1.5e-01   
219   -0.000        4.2e-02   0.666        1.2e-02   0.004    1.5e-01   
220   -0.001        4.1e-02   0.666        1.2e-02   -0.004   1.5e-01   
221   0.002         4.2e-02   0.666        1.2e-02   0.004    1.5e-01   
222   -0.002        4.2e-02   0.668        1.2e-02   -0.003   1.5e-01   
223   -0.000        4.2e-02   0.667        1.2e-02   0.003    1.5e-01   
224   0.001         4.3e-02   0.667        1.2e-02   -0.003   1.5e-01   
225   -0.001        4.2e-02   0.665        1.2e-02   0.002    1.5e-01   
226   0.001         4.2e-02   0.666        1.2e-02   -0.001   1.5e-01   
227   -0.001        4.2e-02   0.666        1.2e-02   0.002    1.5e-01   
228   -0.000        4.2e-02   0.666        1.2e-02   -0.001   1.5e-01   
229   -0.002        4.2e-02   0.665        1.2e-02   0.001    1.4e-01   
230   0.003         4.2e-02   0.666        1.2e-02   -0.002   1.5e-01   
231   -0.003        4.2e-02   0.667        1.2e-02   -0.001   1.5e-01   
232   0.003         4.2e-02   0.667        1.2e-02   0.002    1.5e-01   
233   -0.002        4.2e-02   0.668        1.2e-02   -0.001   1.5e-01   
234   0.001         4.2e-02   0.666        1.2e-02   0.000    1.5e-01   
235   -0.001        4.2e-02   0.666        1.2e-02   -0.000   1.5e-01   
236   0.001         4.2e-02   0.667        1.2e-02   0.001    1.5e-01   
237   -0.001        4.2e-02   0.666        1.2e-02   -0.001   1.5e-01   
238   0.001         4.2e-02   0.666        1.2e-02   -0.000   1.5e-01   
239   -0.002        4.1e-02   0.666        1.2e-02   0.000    1.5e-01   
240   0.002         4.1e-02   0.666        1.2e-02   -0.002   1.5e-01   
241   -0.003        4.2e-02   0.667        1.2e-02   0.001    1.5e-01   
242   0.004         4.2e-02   0.666        1.2e-02   -0.001   1.5e-01   
243   -0.003        4.2e-02   0.666        1.2e-02   0.002    1.5e-01   
244   0.003         4.2e-02   0.664        1.3e-02   -0.002   1.5e-01   
245   -0.003        4.2e-02   0.665        1.2e-02   0.001    1.5e-01   
246   0.000         4.2e-02   0.665        1.2e-02   -0.001   1.5e-01   
247   -0.000        4.2e-02   0.666        1.2e-02   0.003    1.5e-01   
248   0.002         4.1e-02   0.666        1.2e-02   -0.003   1.5e-01   
249   -0.004        4.1e-02   0.666        1.2e-02   0.003    1.5e-01   
